제휴사 코드,상품 코드,상품명,이미지 URL,Nothing, 대분류 카테고리명,중분류 카테고리명,소분류 카테고리명,세분류 카테고리명,제조사
3753625,EE128,1884793970,블랙야크 [블랙야크] 남성 가을 티셔츠 M머큐리티셔츠 1,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/188/479/1884793970.jpg?ver=11241942431,0,의류,상의,티셔츠,등산의류,기타
392071,ED910,7271898216,[롯데아이몰][헤드] [TOP] 언더웨어 남성 모션 드로즈 3종 B,http://openimage.interpark.com/goods_image/8/2/1/6/7271898216s.jpg,25170,의류,언더웨어,남성 팬티,없음,없음
4583053,EE128,1788116053,핑 남성 스트레치 하프 팬츠 11292PS901.1,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/178/811/1788116053.jpg?ver=10539116538,0,의류,하의,바지,골프의류,기타
3414618,TLC16,LE1203969284,블랙야크 남성 기능성고어텍스자켓 B1XS1자켓 LE1203969284,https://contents.lotteon.com/itemimage/_v051902/LE/12/03/96/92/84/_1/22/10/17/04/3/LE1203969284_1221017043_1.jpg,0,의류,아우터,점퍼,등산의류,없음
4467013,ED910,7289591694,전사이즈입고/나이키 남성긴바지/805163-010-H0625,http://openimage.interpark.com/goods_image/1/6/9/4/7289591694s.jpg,104020,의류,하의,바지,스포츠의류,없음
543883,TH201,2210932294,[태창][태창] 여성 플라워 레이스 팬티 MLWP449202_25,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/9/3/2/2/9/4/GIMDi/2210932294_B.jpg,4430,의류,언더웨어,여성 팬티,없음,㈜이랜드월드
569628,EE715,B788997309,BYC  센스포인트나염미디삼각팬티3매입 BYX0361,http://image.auction.co.kr/itemimage/1b/34/b0/1b34b0d6f0.jpg,15820,의류,언더웨어,여성 팬티,없음,없음
1549511,TQB02,1659458179,[현대백화점]캉골 (현대백화점)[캉골] 클럽 오버사이즈 스웨트셔츠 1613 블루 (의류/라운드티셔츠/맨투맨),http://image.g9.co.kr/g/1659458179/n,0,의류,상의,티셔츠,남녀공용,기타
1694055,TN118,1000054144080,오버 숄더 투포켓 긴팔 셔츠,http://item.ssgcdn.com/80/40/14/item/1000054144080_i1_350.jpg,19168,의류,상의,셔츠,남성,(주)단군기획
615565,ED910,6656227200,비비안/AK수원점비비안60수 면100 남성런닝 RU1360,http://openimage.interpark.com/goods_image/7/2/0/0/6656227200s.jpg,0,의류,언더웨어,남성 런닝,없음,없음
2509854,TQ612D,9600109,[투미/2ME] [2ME] 코튼스키니팬츠(TMTW44902C_BE)(9600109),http://image.istyle24.com/upload/productImage/0000004156/20170227/9600109_L.jpg,10900,의류,하의,바지,여성,(주)이랜드월드
1104844,TH201,2584458609,구찌 로고 벨벳 맨투맨 19FW 595795 XJBTC 1082,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/4/5/8/6/0/9/Gnihd/2584458609_B.jpg,934080,의류,상의,티셔츠,남성,구찌  ㈜렛츠밀란커머스 병행수입)
638608,TH201,3046103688,BYC 남성 순면 민소매 골런닝 C2113,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/1/0/3/6/8/8/ZORuv/3046103688_B.jpg,0,의류,언더웨어,남성 런닝,없음,BYC / BYC
2985027,ED910,7118466127,크롬 렌즈 08CMOS027A 005148G 499 남자 오버 셔츠 자켓 08CMOS027A005148G499_8713001,http://openimage.interpark.com/goods_image/6/1/2/7/7118466127s.jpg,322490,의류,아우터,점퍼,남성,없음
1807520,TQB02,1786673818,[롯데백화점1관]T22A1WSH062WT2(린넨혼방 스트라이프 셔츠),http://image.g9.co.kr/g/1786673818/n,0,의류,상의,셔츠,여성,기타
897774,EE128,1873400593,트라이 [국민속옷트라이] 남) 긴팔 나염 파자마 D12,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/187/340/1873400593.jpg?ver=11256075912,30420,의류,언더웨어,잠옷/홈웨어,없음,기타
826764,ED910,7480190018,[롯데아이몰][비너스] (VBR0890F VPT0890H)  미라클 후레쉬 브라햄팬티 세트F컵 VBR0890F VPT08,http://openimage.interpark.com/goods_image/0/0/1/8/7480190018s.jpg,39590,의류,언더웨어,여성 세트,없음,신영와코루
1199867,TSC33D,977502,[메종키츠네] (AM00301KM0001 GREY MELANGE) 남성 맨투맨 20SS,https://d15jp4iwerkqw1.cloudfront.net/images/deals/4c123ba086a547e5a4ecebdf15912e48.jpg?w=500,152640,의류,상의,티셔츠,남성,없음
355292,ED909,55858576,[라코스테 언더웨어] LF102 네이비마크,http://itemimage.cjmall.com/goods_images/55/576/55858576L.jpg?timestamp=20201023032544,47410,의류,언더웨어,남성 팬티,없음,라코스테
985897,TH201,3050887445,YWH830255팬티 겸 순면 SIZE [삼신][할머니팬티]BIG 사각속바지,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/8/8/7/4/4/5/JnCjn/3050887445_B.jpg,0,의류,언더웨어,내의/내복,없음,삼신
828482,EE715,B443446434,캘빈클라인언더웨어 (현대Hmall) 캘빈클라인 언더웨어  CK 여성 브라+티팬티 세트 QF1712+D3509 2종 택1,http://image.auction.co.kr/itemimage/12/1f/2c/121f2cfb00.jpg,60390,의류,언더웨어,여성 세트,없음,캘빈클라인언더웨어
1348632,ED905,88787429,[라벨루쏘] [메종 키츠네] AW00302KM0002 BK 트리컬러 폭스 패치 여성 맨투맨,https://photo.akmall.com/image4/goods/88/78/74/29/88787429_M_500.jpg,258400,의류,상의,티셔츠,여성,메종 키츠네
4258844,ED910,7496978416,[갤러리아]  빈폴스포츠  남성 B TWN 경량 다운 베스트 BO9938D02,http://openimage.interpark.com/goods_image/8/4/1/6/7496978416s.jpg,29830,의류,상의,조끼,스포츠의류,없음
33151,ED910,4239258524,여자 남자니플밴드 유두스티커 패치 가리개 커버,http://openimage.interpark.com/goods_image/8/5/2/4/4239258524s.jpg,5200,의류,언더웨어,패드/소품,없음,없음
1368899,EE309,LE1203876126,프레드페리 [S/S상품]쉐브론 폴로 셔츠Chevron Detail Polo Shirt(E79)AFPF2018120,https://contents.lotteon.com/itemimage/LE/12/03/87/61/26/_1/22/04/41/39/7/LE1203876126_1220441397_1.jpg,0,의류,상의,티셔츠,여성,없음
452140,ED910,7286696032,CJ [푸마] NEW 남성 심리스 8차 드로즈 3종 D,http://openimage.interpark.com/goods_image/6/0/3/2/7286696032s.jpg,26480,의류,언더웨어,남성 팬티,없음,없음
2109652,TQB02,1749090376,[현대백화점]써스데이아일랜드 (현대백화점)써스데이아일랜드(T202MCD136)페이즐리 자수 포인트 숏 가디건,http://image.g9.co.kr/g/1749090376/n,0,의류,상의,가디건,여성,기타
4336553,ED908,61683514,[다나와 5% 추가할인][롯데백화점][머렐]남성 스포티 반바지 5219PH235 236,http://image.gsshop.com/image/61/68/61683514_L1.jpg,23750,의류,하의,바지,등산의류,(주)화승
415615,TQB02,1832285285,[카드 5% 할인][롯데닷컴](하프클럽 바디웨어)HIT 남성 면스판 드로즈 3종 랜덤1종 D/ 푸마,http://image.g9.co.kr/g/1832285285/n,27880,의류,언더웨어,남성 팬티,없음,기타
2107694,TQB02,1741514463,[롯데백화점2관]톰브라운 [톰브라운_잡화] 20SS 여성 FJT069A 00535 055 사선 완장 브이넥 가디건,http://image.g9.co.kr/g/1741514463/n,0,의류,상의,가디건,여성,기타
3033250,EE128,1735745736,[CP컴퍼니] (08CMOS026A 005148G 999) 남성 자켓 20SS,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/173/574/1735745736.jpg?ver=9324817449,0,의류,아우터,점퍼,남성,기타
1701779,TN118,1000048975560,지오지아 린넨코튼 포켓패치 반팔셔츠 ABA2WC1201_P081265354,http://item.ssgcdn.com/60/55/97/item/1000048975560_i1_350.jpg,0,의류,상의,셔츠,남성,ZIOZIA
3000447,TS606,9285123,탑스타 스톤아일랜드 19FW 남성 가먼트 클링클랩스 다운 패딩 올리브 711540223 V0068,https://cdn.mustit.co.kr/lib/upload/product/topstar/2019/12/1576718127-28.jpg/_dims_/resize/500x500/extent/500x500,1083000,의류,아우터,점퍼,남성,없음
3062929,TH201,2773321170,[몽클레어] 20SS 남성 패딩 믹스 자켓 (9B50000_V9059_742_20S),http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/3/2/1/1/7/0/aWdTl/2773321170_B.jpg,1050560,의류,아우터,점퍼,남성,병행수입(유니코)
4575473,ED903,1596886164,케이스위스 신축성이 좋은 폴리스판 담보루 남성 저지트레이닝바지 4219FJ317,http://image2.lotteimall.com/goods/64/61/88/1596886164_1.jpg,20250,의류,하의,바지,스포츠의류,화승
385777,TQB02,1843712066,[카드 5% 할인][NS홈쇼핑]아디다스  NEW 남성 아이스 쿨 패키지 5종 택일,http://image.g9.co.kr/g/1843712066/n,51610,의류,언더웨어,남성 팬티,없음,기타
2455002,EE128,1341470653,디스퀘어드  메탈로고 그레이진_클레멘트핏/74LB0313,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/134/147/1341470653.jpg,530060,의류,하의,바지,남성,기타
3049366,EE128,960472630,골든구스 스트라이프 카라 코치자켓/G30MP543 A6/ 골든구스,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/960/472/960472630.jpg?ver=11357674029,341970,의류,아우터,점퍼,남성,기타
2663408,EE715,B910017031,지오지아  지오지아  W몰 지퍼스냅 히든장식 트랜치 맥코트 ABA3CG1101 DNV 네이비,http://image.auction.co.kr/itemimage/1d/fc/19/1dfc198430.jpg,140860,의류,아우터,코트,남성,없음
1207335,ED903,1602914614,라코스테 [공식] 라코스테 [공식] 라코스테 남성 클래식 긴팔 폴로 L132E-20C_HD1,http://image2.lotteimall.com/goods/14/46/91/1602914614_1.jpg,128810,의류,상의,티셔츠,남성,동일드방레
1298212,EE715,B830184581,오프화이트  20SS 남성 WAVY 라인 반팔티 (OMAA027R20185004_1001,http://image.auction.co.kr/itemimage/1c/05/5d/1c055dd840.jpg,406650,의류,상의,티셔츠,남성,오프화이트
2259792,TT336E,3902071506,《시나코바》20SS 스톤아일랜드 와팬 숏팬츠 721563460 V0020,https://img020.feelway.com/3902/smallbd77pd3902071506ed1.jpg,295000,의류,하의,바지,남성,없음
955985,TQB02,1664642892,[카드 5% 할인][AK플라자]트라이엄프 [트라이엄프]여성 80수 주자 도트 여성잠옷(TWJ0858),http://image.g9.co.kr/g/1664642892/n,88660,의류,언더웨어,잠옷/홈웨어,없음,기타
1080832,TN118,1000044342627,지이크F 봄여름 오버핏컬러블러킹티셔츠FX-IBE8784,http://item.ssgcdn.com/27/26/34/item/1000044342627_i1_350.jpg,0,의류,상의,티셔츠,남성,(주)모다이노칩 순천점
3486959,ED910,4537927126,MIZUNO 미즈노 프로 동계 트레이닝복 상의 8408 진회,http://openimage.interpark.com/goods_image/7/1/2/6/4537927126s.jpg,0,의류,아우터,점퍼,스포츠의류,미즈노
979363,TN920,4303548530,다이소몰 BYT6655 BYC 남자 면100 순면 보온 내복 상하 세트 다이소몰,http://img3.tmon.kr/cdn3/deals/2020/09/03/4303548530/catlist_3col_v2_1e7ce_fcqf9.jpg,13780,의류,언더웨어,내의/내복,없음,없음
4394893,ED907,2088636611,[현대백화점] 푸마  남성용 에센셜 스몰로고 면 트레이닝팬츠 블랙  851758 21 푸마짱 +할인쿠폰,https://imagessl.hyundaihmall.com/static/6/6/63/88/2088636611_0_140.jpg,51430,의류,하의,바지,스포츠의류,푸마(PUMA)
4048946,TN920,2295272302,나이키 SB 드라이 DFC 카모 반팔 티 892823 021 제품선택,http://img1.tmon.kr/cdn3/deals/2019/07/26/2295272302/catlist_3col_v2_89587_dwjkz.jpg,27770,의류,상의,티셔츠,스포츠의류,없음
1155469,EE715,B694033605,오프화이트 오프화이트 19SS 블랙 플래닛 티셔츠 OMAA027S191850161088,http://image.auction.co.kr/itemimage/19/44/e7/1944e75ec0.jpg,166660,의류,상의,티셔츠,남성,오프화이트
4289777,TP40F,P1619633093,[갤러리아] blackyak블랙야크 봄 여름 여성용 5부팬츠 M쿨웨이브5팬츠 1BYHPM9504,http://img1a.coupangcdn.com/image/vendor_inventory/1325/f923e1374b7c683e5ae116a486c36ea640f5876a243ba1f465e86d969434.jpg,33930,의류,하의,바지,등산의류,없음
954269,TH201,2533226607,[현대백화점][비너스]은은하고 고급스러운 실크필 꽃나염 남성파자마(VPA3476M),http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/2/2/6/6/0/7/cNJyD/2533226607_B.jpg,97320,의류,언더웨어,잠옷/홈웨어,없음,와코루
571091,EE128,1857074435,보디가드 [보디가드] 섹시쿠키 러브엔젤 민트 레이스사각팬티SCWPW414 [P001082369],http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/185/707/1857074435.jpg?ver=11110470035,0,의류,언더웨어,여성 팬티,없음,기타
1999006,ED910,7048581142,제이케이샵 [스톤아일랜드] 소프트 코튼 니트 7215510B2 V0093,http://openimage.interpark.com/goods_image/1/1/4/2/7048581142s.jpg,0,의류,상의,니트,남성,없음
2186948,TN920,4064609230,신세계TV쇼핑 파파브로 남성 클래식 모던 여름 양복 슬랙스 수트 정장 팬츠 바지 SY SPS 101 블랙 신세계TV쇼핑,http://img4.tmon.kr/cdn3/deals/2020/07/28/4064609230/catlist_3col_v2_bd5b3_g7ef6.jpg,0,의류,하의,바지,남성,없음
1992024,TH201,2842340186,18S/S 와펜 반집업 니트 네이비 6815522B5 V0020,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/3/4/0/1/8/6/WFrqN/2842340186_B.jpg,339260,의류,상의,니트,남성,바이스트/병행수입
